,Price,Location,URL,Date,Title,num image,text,condition,bicycle frame material,bicycle type,frame size,wheel size,make / manufacturer,model name / number,size / dimensions,brake type,electric assist,handlebar type,suspension,part type,serial number
5780,15999.0,eastco,https://eastco.craigslist.org/trb/d/arvada-enclosed-vnose-trailers-20ft/7468847844.html,2022-04-08 17:30,ENCLOSED VNOSE TRAILERS 20FT 24FT 28FT 32FT FINANCING IS AVAILABLE,24,"WE ARE A FACTORY DIRECT TRAILER DEALER ALL TRAILERS ARE DELIVERED TO YOUR DOOR FROM THE FACTORY DELIVERY IS FREE IN MOST STATES 15% DEPOSIT REQUIED TO PLACE ORDER BALANCE DUE TO DRIVER WHEN TRAILER IS DELIVERED DELIVERY USUALLY TAKE ABOUT A WEEK ON STANDARD IN STOCK TRAILERS CHECK OUT OUR WEBSITE FOR MORE INFO OR GIVE US A CALL  BIGENCLOSEDTRAILERS.COM  FINANCING IS AVAILABLE  516 503 2826 CALL OR TEXT NOW  BIGENCLOSEDTRAILERS.COM  STANDARD CAR/CARGO HAULERS 8.5 x 20’ $15999 DELIVERED TO YOU 8.5 x 24’ $16999 DELIVERED TO YOU 8.5 x 28’ $17999 DELIVERED TO YOU 8.5 x 32' $19999 DELIVERED TO YOU 24' Blackout Trailer $17999 DELIVERED TO YOU 24' Snowmobile ATV Drive through Trailer--Free Delivery--$17999.00 Triple Axle 32ft with 5200lb axles $24999 BLACK AND WHITE ARE STANDARD COLORS CUSTOM COLORS ARE AVAILABLE AT AN EXTRA COST AND TAKE LONG TO BUILD  FULLY FINISHED RACE CAR TRAILERS ALSO AVAILABLE  BIGENCLOSEDTRAILERS.COM  516-503-2826  RACE CAR TRAILERS 28FT $29999 32FT $34999 36FT $38999 TRIPLE AXLE   MOST RACE CAR TRAILERS ARE CUSTOM BUILT AND TAKE 12 TO 14 WEEKS TO BUILD MAYBE LONGER IN CERTAIN CASES DUE TO COLORS AND EXACT OPTIONS REQUESTED SEE LIST OF UPGRADES AND OPTIONS ON OUR WEBSITE BIGENCLOSEDTRAILERS.COM  BIGENCLOSEDTRAILERS.COM  CUSTOM TRAILERS TAKES 10 TO 12 WEEKS TO BUILD MOST STANDARD TRAILER SIZES IN STOCK AND READY TO GO  VISIT OUR WEBSITE BIGENCLOSEDTRAILERS.COM  Custom colors and options are available Trailers are aluminum body on steel frame with Plywood interior Features: radial tires-led lights-emergency brake away Brakes on both axles-Dual 5200lb axles OR 3500lb axles-rear ramp door- Side door-locks on both doors  ALL STANDARD TRAILERS--- --6 1/2 interior height ---unfinished plywood interior ---Aluminum Body on Steel Frame ---Side Escape Door-$550 extra-makes it easy to open the car door when you pull it in the trailer ---3500LB DOUBLE AXLES-UPGRADED AXLES AVAILABLE   Enclosed Vnose Trailers Great for Toys Cars Motorcycles ATVS UTVS Moving Storage 6 X 12 $11999 Singles axle 7 x 16 dual axle $13999  CALL OR TEXT 516 503 2826 STEVE WWW.BIGENCLOSEDTRAILERS.COM FINANCING IS AVAILABLE WWW.BIGENCLOSEDTRAILERS.COM  ALL TRAILERS MUST BE DELIVERED AS THEY COME STRAIGHT FROM THE FACTORY TO YOUR FRONT DOOR 15% DEPOSIT REQUIRED     There are several uses for a utility trailer. Here is a glimpse at just the top ten uses of utility trailers:  1.Automobiles: From time to time it becomes necessary to haul an inoperable car or truck. Tow trucks are expensive, especially if the distance is great. A utility trailer is a great way to haul vehicles and a good investment if you need to do so regularly.  2.Boats: If you have a boat, you will need a utility trailer to get it to and from the water.  3.Lawn Care Equipment: If you live in a rural area, you may find that you need to haul your mowing equipment from one piece of your property to another. Packing equipment and loading it into a pickup truck bed can get old very quickly. A utility trailer will allow you to drive your equipment right up onto the trailer without the aid of ramps or two strong men.  4.Furniture: Moving furniture is a breeze with a utility trailer. Furniture dollies roll right up onto the trailer and you can haul more than you can with a pickup.  5.Building Supplies: Do you have projects that need to be done around the house? Pick up your own building supplies and save on delivery fees.  6.Bikes, Motorcycles, and ATVs: Recreational vehicles are best hauled on a utility trailer.  7.Livestock: An enclosed utility trailer is most often used to haul livestock.  8.Auction and Flea Markets: If you frequent auctions and flea markets, you will need the hauling capability to bring home your inexpensive and rare finds.  9.Appliances: Utility trailers are ideal for hauling appliances.  10.Debris and Trash: Loading trash in and out of your pickup bed can be cumbersome and clean up can be messy, but it would be worse to have to haul trash in your SUV. Clean up after a big job is a lot easier with a utility trailer.  As you can see, there are many reasons why an investment in a utility trailer is a smart move. I'm sure that with a little time, and its easy availability, you will come up with even more ways to use a trailer  ATV UTV SXS MOTORCYCLE BIKE TRANSPORT HAUL MOVE CAR TRUCK MOVING TRAVELING STORAGE CARGO LOADS AUTHORITY BOAT HAULING BUSINESS BUSINESS FOR SALE JOB SALES CONSTRUCTION EQUIPMENT STEEL RAZOR SNOWMOBILE POLARIS YAHAMA WILD CAT MACHINE AUTOMOBILE AUTO VAN TOWING TOW VECHICLE SNOW RAIN BOX TRUCK FLATBED GOOSNECK BUMPER PULL HITCH BALL WEATHER BUY WOOD Westchester County, NY Amawalk, Annsville, Archville, Ardsley, Ardsley-on-Hudson, Armawalk, Armonk, Arthur Manor, Banksville, Bayberry Park, Bedford, Bedford Center, Bedford Hills, Beech Hill, Beechmont, Beechmont Woods, Bonnie Crest, Boutonville, Briarcliff Manor, Bronxville, Bronxville Heights, Bryn Mawr Park, Buchanan, Buckhout Corners, Butlerville, Cecil Park, Cedar Knolls, Chappaqua, Chauncey, Chester Hill Park, Chimney Corners, Colonial Acres, Colonial Heights, Crestwood, Crestwood Gardens, Crompond, Cross River, Croton Falls, Croton Heights, Croton-on-Hudson, Crotonville, Crugers, Dobbs Ferry, Dunwoodie, Dunwoodie Heights, East Irvington, East White Plains, East Woods, Eastchester, Eastview, Elmsford, Elmsmere, Fairview, Fleetwood, Forest Knolls, Fox Meadow, Furnace Woods, Gallows Hill, Glendale, Glenville, Glenwood, Goldens Bridge, Graham, Granite Springs, Grant Corner, Greenhaven, Greenville, Grey Oaks, Greystone, Gunther Park, Harrison, Hartsdale, Hastings-on-Hudson, Hawthorne, Heath Ridge, Heathcote, Heritage Hills, Homestead Park, Horseshoe Hill, Horton Estates, Huguenot Park, Irvington, Isle of San Souci, Jefferson Valley, Katonah, Kitchawan, Lake Katonah, Lake Lincolndale, Lake Mohegan, Lake Purdy, Larchmont, Lawrence Park, Lewisboro, Lincoln, Lincolndale, Lowerre, Ludlow, Mamaroneck, Maplewood, Mariandale, Millwood, Milton, Mohegan Heights, Mohegan Lake, Montrose, Mount Airy, Mount Hope, Mount Kisco, Mount Pleasant, Mount Vernon, Murdock Woods, Murray Hill, Nepera Park, Nepperhan, New Rochelle, North Salem, North White Plains, Oceola Lake, Orienta, Oscawana, Ossining, Park Hill, Parkside, Peekskill, Pelham, Pelham Manor, Philipse Manor, Pinebrook, Pinebrook Heights, Pleasantside, Pleasantville, Pocantico Hills, Port Chester, Pound Ridge, Purchase, Purdys, Purdys Grove, Quaker Ridge, Quarry Heights, Residence Park, Ridgeway, Rochelle Heights, Rochelle Park, Roe Park, Rosedale, Rye, Rye Brook, Salem Center, Sarles Corners, Scarborough, Scarsdale, Scarsdale Downs, Scarsdale Park, Scotts Corners, Secor Gardens, Shenorock, Sherman Park, Shore Acres, Shrub Oak, Sleepy Hollow, Sleepy Hollow Manor, Somers, South Salem, Sparta, Spring Valley, Stanwood, Sun Haven, Sunny Brae, Tarrytown, Thornwood, Toddville, Tompkins Corners, Tuckahoe, Twin Lakes Village, Valhalla, Valley Pond Estates, Van Cortlandtville, Vernon Park, Verplanck, Victory Park, Vista, Waccabuc, Waverly, West Mount Vernon, White Birches, White Plains, Whitehall Corners, Wilmot Woods, Windmill Farm, Woodlands, Woodybrook, Worthington, Wykagyl, Wykagyl Park, Yonkers, Yorktown, Yorktown Heights, brooklyn, queens, manhattan, nyc, bronx, staten island, long island, hudson valley",,,,,,,,,,,,,,
5781,5100.0,eastco,https://eastco.craigslist.org/mcy/d/sterling-2009-harley-davidson-883/7472144422.html,2022-04-16 13:30,2009 Harley Davidson 883 Sportster,6,"Runs and handles like new. All services up to date as of 14 April 2022  to include new battery, new spark plugs- new air filter      new oil and oil filter -new brake pads front and rear- new Dunlop tire front an rear. Also comes with detachable windshield and detachable passenger  backrest with luggage rack . Also comes with blue tooth speakers that mount on handlebars.    The exhaust pipes are Vance & Hines. All of  this adds up to over $1500.00 in accessories. The bike has a really short seat height.   You can get on this bike and ride any where you want right now!!!! there is nothing to fix or worry about.            BUY IT- INSURE IT- RIDE IT..................O.B.O.",,,,,,,,,,,,,,
5782,1599.0,eastco,https://eastco.craigslist.org/spo/d/sterling-expresso-fitness-hd-e3-upright/7459351255.html,2022-04-15 08:14,EXPRESSO FITNESS HD E3 UPRIGHT BIKE,3,"The Expresso HD Upright Bike is the coolest and most fun piece of cardio equipment ever imagined. A powerful motivator for all fitness levels, Expresso HD keeps exercisers engaged, improving and loyal. Challenges bring the community together working towards a common goal. Not to mention it’s a killer showpiece for your home or fitness facility. The Expresso HD Upright Bike is our most popular model and the gold-standard in interactive cycling.    Adjustable Seat:20 Height Positions 7 Horizontal Positions Interchangeable with Any Standard Bike Seat Steering: Turn Handlebars to Steer While Riding Resistance: 30 Gears Automatically Adjusts to the Grade on the Screen Screen: 23″ HD Display Power: 100-220V AC 50/60 Hz TV Compatible with Coax Cable Connectivity: Wireless (WiFi 802.11n+), Wired (Gigabit LAN+) WIFI Compatible eLive Subscription (Not Included) (Not Needed) – In Order to Benefit from Internet Connection an eLive Subscription Can be Purchased Through Expresso Her", excellent,,,,,,,,,,,,,
5783,100.0,eastco,https://eastco.craigslist.org/mpo/d/wray-vintage-easyriders-magazines/7469297190.html,2022-04-09 18:40,Vintage Easyriders magazines,0,"I have most all monthly issues from 1995-2002 Easyriders magazine collection.   Kept through the years for ideas on a bike build.  Never got the bike built do to life's path.   Will not ship, but will meet within reasonable distance.",,,,,,,,,,,,,,
5784,6500.0,eastco,https://eastco.craigslist.org/mcy/d/log-lane-village-1980-flh-harley/7464247664.html,2022-03-28 21:03,1980 FLH Harley Davidson,0,1980 FLH shovelhead. Good running bike that was totally gone through by the previous owner.  It has an S&S 96 motor and an aftermarket 5 speed in it. Runs good looks good.  $6500 obo,,,,,,,,,,,,,,
5785,4500.0,eastco,https://eastco.craigslist.org/mcy/d/lamar-2004-yamaha-r1/7461719636.html,2022-03-22 18:19,2004 Yamaha R1,0,,,,,,,,,,,,,,,
5786,100.0,eastco,https://eastco.craigslist.org/bik/d/akron-adult-and-kids-bike/7461276088.html,2022-03-21 18:02,Adult and kid's bike,0,Adult and kid's bike sold together for $100.,, steel, cruiser, 26-in and 14 in, 26 in,,,,,,,,,
5787,80.0,eastco,https://denver.craigslist.org/bop/d/denver-schwinn-hitch-bike-rack-bikes/7471099258.html,2022-04-18 16:54,SCHWINN HITCH BIKE RACK 4 bikes,5,"Extra clean Schwinn hitch bike rack with locking pin, ready to install. Nice one: holds four bikes, fits 1-1/4' hitch, folds forward and arms fold down. Modern rack will look good in any car new or old.   (If you want this rack, just ask for the Schwinn rack)  $8OCASH-TEXT ME @*3*[]*3*5*8*2*4*4*I*O*THANK YOU", excellent,,,,, TEXT ME @, 3*O*3*5*8*2*4*4*I*O, 4 BIKES,,,,,,
5788,5.0,eastco,https://fortcollins.craigslist.org/bik/d/fort-collins-bikes-for-sale/7472945260.html,2022-04-18 16:35,Bikes for sale,0,,,,,,,,,,,,,,,
5789,65.0,eastco,https://denver.craigslist.org/bik/d/broomfield-bikes-for-sale/7472878202.html,2022-04-18 14:12,2 bikes for sale,0,"I have a 16"" schwinn gremlin Please text if you need more info",, other/unknown, kids, Not sure, other/unknown, Specialized/ Schwinn,,,,,,,,
