,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,brake type,electric assist,handlebar type,suspension,serial number,part type,size / dimensions,paint color,year manufactured
3327,30.0,inlandempire,https://inlandempire.craigslist.org/bik/d/bellflower-girls-kids-bikes/7463075776.html,2022-04-18 16:42,Girls/kids bikes, steel, cruiser, girls/kids, 20 in,6,"2 girls bikes with training wheels, one 20 inch wheels & one with 16 in. wheels both ride and are straight but could use seat covers ( taped up now ), $30 each or $50 for both, no email or text, call  show contact info",,,,,,,,,,,,
3328,450.0,inlandempire,https://inlandempire.craigslist.org/snw/d/pomona-new-kids-50cc-dirt-bikes/7467300893.html,2022-04-18 13:42,New kids 50cc dirt bikes,,,,,5,"12345 © craigslist - Map data © OpenStreetMap  **Brand New Dirt Bike for Kids and Teens** -50cc engine. -Automatic. -2 stroke. -Speed governor. -Support up 220 pounds. -Mph 35. **High performance Gas Dirt Bike** *Super Fast and Extremely fun* *asking 450 cash firm*firm* *pick up in Pomona ca*no Delivery* *hmu when you're ready to pick up please* *kids 5 to 13 its 29"" seat to the floor* *great for  Beginer bikes* *they are gas mixed with 2 cycle oil* *dont hmu to lowball me please prices are going up for everyone ...im firm text or call  show contact info",,,,,,,,,,,,
3329,450.0,inlandempire,https://inlandempire.craigslist.org/snw/d/pomona-new-gas-dirt-bikes-50cc/7467724836.html,2022-04-18 13:42,New gas dirt bikes 50cc,,,,,6,"**Brand New Dirt Bike for Kids and Teens** -50cc engine. -Automatic. -2 stroke. -Speed governor. -Support up 220 pounds. -Mph 35. **High performance Gas Dirt Bike** *Super Fast and Extremely fun* *asking 450 cash firm*firm* *pick up in Pomona ca*no Delivery* *hmu when you're ready to pick up please* *kids 5 to 13 its 29"" seat to the floor* *great for  Beginer bikes* *they are gas mixed with 2 cycle oil* *dont hmu to lowball me please prices are going up for everyone ...im firm text or call  show contact info  no scammers",,,,,,,,,,,,
3330,3400.0,inlandempire,https://inlandempire.craigslist.org/snw/d/barstow-super-73-electric-bikes-new/7472875200.html,2022-04-18 13:06,Super 73 Electric Bikes New,,,,,0,Super 73 Electric Bikes New Condition.,,,,,,,,,,,,
3331,775.0,inlandempire,https://inlandempire.craigslist.org/spo/d/thousand-oaks-spin-bikes-schwinn-carbon/7465885886.html,2022-04-18 11:20,Spin Bikes SCHWINN Carbon Blue CARDIO Exercise Bike Indoor Cycling ABS,,,,,11,"Awesome spin bike! Top commercial grade. GREAT DEAL!!!!!!!! I have up to 20 of these!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  Used, in excellent condition! They all been technician examined and maintained -- they work great and no issues. And, it looks good!!! Of course, its' used, so hold expectations accurately -- there are signs of usage (i.e. stabilizer covers have marks from people stepping on it with clip shoes; there may be a small scratch here or there; or, some touch-up paint in small areas; etc.). Nothing that would be unexpected.  THE BIKE WORKS PERFECT!!! If you are OK with some cosmetic imperfections (and, I'm ONLY saying this so you know going into it... but, also -- I HAVE VERY HIGH STANDARDS. So, what I may note, may not mean anything to you). Pictures of actual bikes! THEY ARE CLEAN!! AND, THEY LOOK GREAT!!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  Delivery is also available (charge, TBD)", excellent, Schwinn, AC Performance Carbon Blue,,,,,,,,,
3332,775.0,inlandempire,https://inlandempire.craigslist.org/spo/d/thousand-oaks-schwinn-carbon-blue-spin/7463458943.html,2022-04-18 11:20,Schwinn Carbon Blue Spin Bike - Indoor Cycling Exercise Bikes FITNESS,,,,,17,"Awesome spin bike! Top commercial grade. GREAT DEAL!!!!!!!!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  ATTN: Studio owners / managers -- IF you're looking for multiple bikes for your studio -- I have over 30 of these!!!  Used, in excellent condition! It works great and no issues. And, it looks good!!! Of course, its' used, so hold expectations accurately -- there are signs of usage (i.e. stabilizer covers have marks from people stepping on it with clip shoes; there may be a small scratch here or ther; or, some touch-up paint in small areas; etc.). Nothing that would be unexpected.  Delivery is also available (charge, TBD)  THE BIKE WORKS PERFECT!!! If you are OK with some cosmetic imperfections (and, I'm ONLY saying this so you know going into it... but, also -- I HAVE VERY HIGH STANDARDS. So, what I may note, may not mean anything to you). Pictures of actual bikes! THEY ARE CLEAN!! AND, THEY LOOK GREAT!!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)", excellent, Schwinn, AC Performance Carbon Blue,,,,,,,,,
3333,100.0,inlandempire,https://inlandempire.craigslist.org/mpo/d/victorville-flying-bikes-oakwood-jacket/7470625775.html,2022-04-18 11:14,Flying bikes oakwood jacket,,,,,3,"Heavy duty badass biker jacket, fits a large size chest. Excellent condition",,,,,,,,,,,,
3334,50.0,inlandempire,https://inlandempire.craigslist.org/bop/d/apple-valley-bikes-all-for-50-bundle/7470887875.html,2022-04-18 10:59,6 BIKES  - all for $50 Bundle - BEACH CRUISER,,,,,0,,,,,,,,,,,,,
3335,350.0,inlandempire,https://inlandempire.craigslist.org/bik/d/menifee-his-hers-speed-beach-cruiser/7472039516.html,2022-04-18 09:24,His N Hers 3 Speed Beach Cruiser Bikes, aluminum, cruiser, 17, 26 in,5,"Very clean Greenline Aluminum 3i Beach Cruiser Bikes.26” wheels. Front and rear fenders. Bikes are in very good condition with 3 piece cranks, great seats,grips, and seats. Nexus internal shifting rear 3 speed rear wheels. At this time I will not separate. Sold as pair. Price FIRM. No EMAILS. Call or text only. No calls after 8pm. Mike  show contact info .", excellent, Greenline,, coaster,,,,,,,,
3336,800.0,inlandempire,https://inlandempire.craigslist.org/bik/d/menifee-ns-bikes-zircus-26-dirt-jumper/7472609616.html,2022-04-17 23:00,NS Bikes Zircus 26” Dirt Jumper,,,,,0,,,,,,,,,,,,,
