,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,serial number,suspension,wheel size,num image,text,size / dimensions,part type
821,60.0,anchorage,https://anchorage.craigslist.org/bik/d/wasilla-clean-125-se-racing-bike/7471082373.html,2022-04-14 01:00,"CLEAN 12.5"" SE RACING BIKE", aluminum, kids, cantilever, like new, none," 8""POST", bmx, SE RACING BIKES, BRONCO, 000, none (rigid), 12 in,3,"LIKE NEW 12.5"" SE RACING BIKE. TRAINING WHEELS INCLUDED REAR PEDAL BRAKE AND HAND BRAKE. TUNED AND READY TO RIDE.  PHONE CALLS ONLY 📞  CALL NINEO73FIVE5ATE6ATE4. JOE",,
822,80.0,anchorage,https://anchorage.craigslist.org/bik/d/wasilla-full-suspension-bikes-each/7470169542.html,2022-04-11 19:17,FULL SUSPENSION BIKES. EACH, aluminum, mountain, cantilever, good, none," 17""", riser, MANY, MANY, 000, frame and fork (full suspension), 26 in,6,"Full SUSPENSION BIKES. BIKES SEAT POST ARE FROM17""TO19"" TALL MEDIUM  ALL HAVE BEEN REFURBISHED.  TUNED AND READY TO RIDE.  PHONE CALLS ONLY 📞.  CALL NINEO73FIVE5ATE6ATE4. JOE",,
823,1.0,anchorage,https://anchorage.craigslist.org/bid/d/anchorage-electric-bikes/7469894747.html,2022-04-11 08:41,Electric Bikes, other/unknown, other,,,, Several,, Magnum,,,, other/unknown,2,"E-Bikes 𝙄𝙣 𝙨𝙩𝙤𝙘𝙠 𝙉𝙤𝙬 and 10% off for a limited time at Anchorage's newest dealer  ⬇️   Alaska Specialty Equipment - Baileys Rent-All  . . Trail Bikes Mountain Bikes Cruisers  EVEN folding bikes.  Prices range from $1,734 to $2,914 🚲🚲🚲🚲🚲🚲🚲         ASE Baileys 🚲 6871 Old Seward Hwy., 907-344-9635",,
824,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-kids-bikes/7454829345.html,2022-04-03 13:57,Kids bikes, steel, kids,,,, Medium,,,,,, 20 in,2,20” kid bike 24” kid bike $40 each  Call 907 four four zero-8234,,
825,123.0,anchorage,https://anchorage.craigslist.org/mpo/d/jber-wanted-old-dirt-bikes/7464577224.html,2022-03-29 14:12,Wanted Old Dirt bikes,,,,,,,, any, any,,,,0,wanting old dirt bikes 70s and early 80s running or not  parts and pieces ok call 907 seven two six 76four seven,,
826,1.0,anchorage,https://anchorage.craigslist.org/wan/d/anchorage-wanted-older-bmx-bike/7468374150.html,2022-04-18 16:51,wanted older bmx bike,,,,,,,,,,,,,2,"Looking for 70s, 80s 90s vintage old mid bmx bike or bikes call text 6324759",,
827,9.0,anchorage,https://anchorage.craigslist.org/spo/d/anchorage-ultralight-dry-bags-sizes/7463214840.html,2022-04-18 08:26,"Ultralight Dry Bags- Sizes Large, XLarge, XXL, Medium, and Small",,,, like new,,,,, Dry Bags,,,,3,"(Note: Please don't use a Y.ahoo Email to reply to craigslist ads. Y.ahoo Email has a known bug which causes it to lose craigslist emails, or to hide it in the Spam folder. Instead, please call or text us at 425-51six-4249 or use a non-Y.ahoo email account to correspond on craigslist. Thanks!)  Ultralight Dry Bags- Sizes Large, XLarge, XXL, Medium, and Small.  The bags are ultralight, so to save gas, we can mail them to you if you like. Postage would be about $3 total for several bags. Or, you're welcome to come by and have a look in person.  Great for hiking and camping, kayaking and canoeing, or just for organizing your gear. Anyone who's ever had a wet sleeping bag or wet night clothes, or wet matches, knows how important a good set of dry bags can be. These bags won't weigh you down, and will keep your gear dry !  We have a few bags each, for each of the sizes, in several assorted colors and sizes. All in Like New or Excellent condition.  We'd use the small ones for our wallets, car keys, binoculars, etc. The medium ones for our stove, sleeping pad, water purifier pump, and the Large bags are excellent for securely storing clothes, fleece jackets, supplies, smaller down sleeping bags, and just about everything else. We'd use the XL and XXL ones for storing our tent, or sleeping bag, or larger sleeping pad, etc.  Dimensions: XXL: 16 x 13 inch 15-Liters XLarge: 22 x 10 inch 12-Liters Large: 17 x 9 inch 8-Liters Medium: 14 x 9 inch 4-Liters Small: 11.5 x 7.5 inch 2-Liters  We paid $25 to $35+tax each; selling in excellent condition for half. Larges, Mediums and Smalls $9.95 ea, XXL and XLarges 12.95 ea  These dry bags are top-of-the-line gear. They would go well with other outdoor equipment like camp camping tents picnic stove msr rei cabela marmot outdoor research primus big agnes wenzel Sierra Designs ThermaRest kelty western mountaineering eureka mountain hardware and Sherpa. Can also use with hennessy hammock hammocks eno northface north face nemo eastern outdoor research backpack hike hiking backpack backpacking trail trails map maps bivy sack sacks shelter tarp noah noahs coleman coghlans coghlan's pack packs day sleeping bag bags seat seats chair chairs table and tables. Or for stove stoves flashlight flashlights headlamps headlights headlamp headlight water hydration gps binoculars monocular compass freeze dried freeze-dried food pole poles trekking trek bear dog ski skiing snowshoe and snowshoeing stuff. Or for gear guide book guides mountain bike bikes biking white gas kerosene alcohol denatured platypus nalgene swiss army knife pocket rocket canister gas cartridge bottle or other outdoor gear."," S, L, M, XL, XXL",
828,1600.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-1up-bike-rack-for/7472604762.html,2022-04-17 21:05,1UP Bike Rack for 4,,,,,,,,,,,,,0,,,
829,2700.0,anchorage,https://anchorage.craigslist.org/bik/d/wasilla-specialized-fsr-mountain-bike/7472589190.html,2022-04-17 19:10,Specialized FSR mountain bike, aluminum, mountain,,,, Aluminum,,,,,, other/unknown,6,Not used much  Got it in a trade and don’t much about these bikes.  I looked up what they go for on eBay but can talk price. Original owner was an aficionado of these bikes and had a lot of them and he mentioned a long list of customisations that were above my level of knowledge.,,
830,20.0,anchorage,https://anchorage.craigslist.org/bab/d/girdwood-girls-bike-helmet-fits-ages-14/7472556485.html,2022-04-17 16:34,Girls bike helmet fits ages 8-14,,,, like new,,,, Bell, Focus,,,,2,Girls Bell Focus helmet for scooters and bikes worn once like new!! size 54-58cm.  Adjustable with vents. asking $20.00  85833456one8,,
831,60.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-ism-touring-bike-seat/7470227331.html,2022-04-17 03:42,ism touring bike seat,,,,,,,,,,,,,6,"like new, 120$ online  Touring – $119.88  Our original saddle. Inspired by the “morning routine”. The Touring remains a great saddle for upright bikes and a popular choice for the Men in Blue. Several police departments around the country use the ISM Touring saddle. After all, these folks are spending an average of 25 hours a week in the saddle – it better be comfy! Great for use with padded bike shorts, or regular everyday clothing. Like all ISM saddles, the Touring is nose-less and designed to remove pressure from soft tissue, ensuring maximum blood flow, no genital numbness, and a healthier, more enjoyable ride.  Key features:      Wide base for maximum stability and rider comfort     Sloped front design allows for easy mounting and dismounting     60-series foam padding  Commonly used for:      Hybrid bikes     Police bikes     City / Commuter bikes",,
832,15.0,anchorage,https://anchorage.craigslist.org/mpo/d/jber-tire-tubes/7459742380.html,2022-04-17 02:07,(2) 2.50-16 Tire tubes,,,,,,,,,,,,,0,"UNIVERSAL FIT 2.25/2.50-16” OFF-ROAD MOTORCYCLE INNER TUBES - These inner tubes fit motorcycle tires with an inner diameter (rim diameter) of 16 inches, an outer diameter of 21 inches, and widths that are between 2.25 inches to 2.50 inches. It has the same dimensions and specifications as the 70/90-16, 80/80-16, 80/90-16, and 90/80-16 motorcycle tires, and 2.50-16 dirt bike tubes. COMPATIBLE REPLACEMENT INNER TUBES FOR DIRT BIKES, PIT BIKES, AND OFF-ROAD MOTORCYCLE - Several brands and models that are compatible with this size of inner tubes include Honda CRF 80F (front tire), Honda XR 80/XR 80R (front tire), and most motorcycles with standard tires. TR4 STRAIGHT VALVE STEM FOR HIGH TORQUE APPLICATIONS -   Centered with a straight and round stem, the TR4 valve fits most rims with a round valve base. Designed specifically for relatively low psi motorcycle and ATV/UTV tires. As they are secured to the rim with nuts and washers, there is a lesser risk of the valve disappearing down to the rim when pumping air. ENJOY OPTIMUM RIDING COMFORT - Made from natural rubber and butyl blend, these inner tubes have a superior impact and vibration dampening property. And as they are also thicker than average inner tubes in the market, the dampening effect doubles, enabling the inner tubes to work effectively in tandem with the bike’s suspension system to provide you with the most comfortable ride.  2 tubes/$15 William 240-6005",,
833,125.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-bmx-package-deal/7466255592.html,2022-04-16 21:40,Bmx package deal, steel, bmx,,,, Medium large,, Bmx,,,, 20 in,6,Take all these bmx bikes for $110  —8 bikes total —  some  need to be worked on —nice project to work in the summer —text if interested 110/8= $13.75 each,,
