,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,text,part type,size / dimensions,paint color,year manufactured,serial number
5900,30.0,fortcollins,https://fortcollins.craigslist.org/bik/d/briggsdale-bikes/7467043842.html,2022-04-04 16:21,2 bikes,0, aluminum, kids,,,, Don't know size,,,,, 14 in,"Selling 2 kids bicycles. They need pumped up tires maybe new tubes, girls bike needs new seat cover, weathered, but roll smooth. We cannot use them out here in the country. Too many goat heads 30 each obo",,,,,
5901,175.0,fortcollins,https://fortcollins.craigslist.org/bik/d/loveland-haro-bikes/7466678722.html,2022-04-03 20:23,Haro Bikes,4, aluminum, bmx, caliper, good, none, 18, bmx, Haro, Racelite, none (rigid), 18 in,"All excellent kids bikes, very fast.   Haro micro mini 18” racelite $350  Haro shredder 16” aluminum $175  bikes are complete and ready to ride. They all show a little wear and tear with some scratches but still in overall good shape. If they’re posted here then they’re still available.    Local Cash buyers only. No I do not need help selling.",,,,,
5902,75.0,fortcollins,https://fortcollins.craigslist.org/spo/d/fort-collins-tension-mount-bike-rack/7459145015.html,2022-04-02 16:48,Tension mount bike rack - holds four bikes,0,,,,,,,,,,,,,,,,,
5903,250.0,fortcollins,https://fortcollins.craigslist.org/hab/d/fort-collins-schwinn-ic3-bikes/7456209757.html,2022-04-01 20:41,2 Schwinn IC3 Bikes,0,,,,,,,,,,,,"I have 2 of these bikes. Barely used, about 1 year old.  I’m asking $250 each. $400 for the pair.  New, these cost closer to $750-800 after taxes and shipping.  ***Comes assembled, you will need a truck/trailer to move it. I can’t deliver.***",,,,,
5904,650.0,fortcollins,https://fortcollins.craigslist.org/bik/d/windsor-diamondback-sorrento-sport-bikes/7463323066.html,2022-03-26 14:14,3- Diamondback Sorrento Sport Bikes,2, aluminum, road, other/unknown, excellent,,,,,,,,Diamondback Sorrento Sport 2007 Excellent condition. Serviced twice a year. I have 3 bikes. $650.00 buys all 3.,,,,,
5905,1000.0,fortcollins,https://fortcollins.craigslist.org/tro/d/fort-collins-motorcycle-trailer-for/7461193684.html,2022-03-21 14:48,Motorcycle Trailer for 3 bikes,5,,,, excellent,,,, Yacht Club, Motorcycle trailer,,,"2000 Yacht Club motorcycle trailer, good tires, tail lights work, w/ramp, and 2"" ball hitch.   If interested, please message me, and pick one of the times below (we live in SW Fort Collins):   We're available on Sat and Sun mornings from 8am - 10am, and 5pm - 7pm, and Wednesdays from 2pm to 6pm, that's it.   Negotiating in person on price is welcome, we're flexible, but we're not answering lots of additional questions, providing additional photos or negotiating over the phone, because its time consuming and usually a waste of time.   First come, first served, cash, no holds.",,, black, 2000,
5906,85.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-kids-bikes-bike-trailer/7460831698.html,2022-03-20 17:42,kids bikes / bike trailer,3, steel, bmx,,,, kids,,,,, 16 in,"Wee Ride Co-pilot trailer. Looks brand new, all parts with it. $120. We bought it and just really never used it. they are around 200 new.   Mirra bikes ""the Blend"" 16"" BMX. freewheel hub, hand brake. Looks great, could use a new set of grips. $85  Specialized Hot Rock 16"" BMX. coaster brake removed and dual hand brakes added. $85  These are great learner bikes. perfect for kids 3-5/6 or so. Good quality, indestructable. No coaster brakes, no training wheels.",,,,,
5907,20.0,fortcollins,https://fortcollins.craigslist.org/for/d/fort-collins-bike-rack/7472128379.html,2022-04-18 17:25,Bike Rack,4,,,,,,,,,,,,Two bikes  rack bike For the car In good condition Fits cars only use truck for pictures,,,,,
5908,600.0,fortcollins,https://fortcollins.craigslist.org/bik/d/johnstown-fuji-tahoe-pro-custom-build/7470126685.html,2022-04-18 17:03,Fuji Tahoe Pro Custom Build - Medium,0,,,,,,,,,,,,,,,,,
5909,50.0,fortcollins,https://fortcollins.craigslist.org/bop/d/fort-collins-allen-bike-rack-for-cars/7472879541.html,2022-04-18 14:15,Allen bike rack for cars,0,,,,,,,, Allen, 522-RR,,,Allen bike rack 522-RR for two bikes. Appears to have never been used. $50. Text John,,,,,
5910,40.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-murray-fury-mountain-bike/7460826013.html,2022-04-18 14:07,Murray Fury Mountain Bike - Medium,0,,,,,,,,,,,,,,,,,
5911,450.0,fortcollins,https://fortcollins.craigslist.org/bik/d/masonville-kink-2022-whip-xl-bmx-bike/7472834200.html,2022-04-18 12:50,"KINK 2022 WHIP XL BMX BIKE (21"" TOPTUBE) (SAGE GREY)",5, alloy, bmx,,,," 21""",, Kink, Whip XL,, 20 in,"$499.99 ~> $450 This bike is BRAND NEW Limited chance to pick up some of the last remaining gems from Lawson Cycles! (recently closed) Save $, shipping, assembly and sales tax. Local & cash sales only.  Do you find yourself really wanting to get the Kink Whip, but find the 20.5"" toptube too short? We've got some good news; the 2022 Kink Whip XL. The Whip XL takes things to the next level with a 21"" toptube, components made from chromoly, and every bearing being fully sealed for pro level strength and performance. The frame, forks, handlebars, and cranks are constructed out of 100% 4130 chromoly, the same material that can be found on top level bikes. Kink didn't stop there. They also included many other parts that can be ordered as aftermarket upgrades such as the Bold stem, Hemlocks, Nexus 25 tooth sprocket, and Bomber stealth pivotal seat. It's hard to believe the price when seeing everything the Kink Whip comes with.  Specifications: Frame: 100% 4130 Chromoly Fork: Kink Stryker 4130 Chromoly Steerer (Tapered Fork Legs) Headset: Mission Sealed Integrated (41.8° x 45°) Stem: Kink Bold HRD (50mm Reach) Bars: Kink T900 9"" 100% 4130 Chromoly Grips: Kink Ace Flangeless Cranks: Kink Ridge 3-Piece Tubular Chromoly 8 Spline (170mm Length) Bottom Bracket: Sealed Mid (19mm) Pedals: Kink Hemlock NF Chain: Mission 410 Sprocket: Mission Nexus 6061 Aluminum (25 Tooth) Front Hub: Mission Foxtrot Sealed (3/8"" Axle) Rear Hub: Mission Engage Sealed Cassette (14mm Axle) Driver: 9 Tooth Sealed Bearings (Right Hand Drive) Front Rim: Mission Mylar Rear Rim: Mission Mylar Front Tire: Kink Sever (20 x 2.4"") Rear Tire: Kink Sever (20 x 2.4"") Seat: Kink Bomber Stealth (Stealth Pivotal) Seat Post: Mission Stealth (Stealth Pivotal Seat Post) Seat Clamp: Mission Slim Clamp Lever: Mission Token Brake Cable: Mission L4 Linear Brakes: Mission Cease V2 Gyro Tabs: Drilled (Not Included) Color: Sage Grey Weight: 27 lbs 12 oz  Frame Geometry: Toptube: 21"" Chainstays: 13.25"" Headtube Angle: 75° Seattube Angle: 71° Stand Over Height: 9"" Bottom Bracket Height: 11.6"" Fork Offset: 32mm",,,,,
5912,17999.0,fortcollins,https://fortcollins.craigslist.org/mcd/d/dearing-2010-harley-davidson-crossbones/7472764838.html,2022-04-18 10:41,2010 Harley Davidson Crossbones,6,,,,,,,,,,,,"2010 Harley Davidson Cross bikes with lots of extra. Fish tail exhaust, air suspension and so much more.  If you have any questions on the bike, financing or the location of the dealership please call Jake.  Please call and make an appointment at 970-590-3961 ask for Jake   Tri City Cycle",,,,,
5913,295.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-ebike-rv-approved-bike-rack/7472745480.html,2022-04-18 10:13,eBike & RV Approved 2-Bike rack,0, other/unknown, other,,,, 0,, Swagman, Escapee,, other/unknown,"Swagman Escapee eBike and RV approved hitch mount bike rack. 2 years old.  Up to 60lbs per bike. 1 or 2 bikes.  Very sturdy.... naturally.  Also pretty heavy.  Can also be used on a car/truck of course... anything with a 2"" receiver.  Sells for over $500 new.   See:  https://www.swagman.net/collections/bike-racks/products/escapee-rv-approved         https://www.etrailer.com/Hitch-Bike-Racks/Swagman/S64693.html",,,,,
5914,150.0,fortcollins,https://fortcollins.craigslist.org/bop/d/fort-collins-yakima-swing-daddy-bike/7465087039.html,2022-04-18 09:12,"Yakima Swing Daddy Bike Rack (2"" hitch)",2,,,,,,,,,,,,"Changed my vehicle and have no need for this rack anymore In very good condition With several keys for the 2 locks (hitch lock and rack lock) Missing one strap   Official specs:  SwingDaddy (2008-2013) Product Details      4-bike capacity     SwingAway™ technology allows easy rear-of-vehicle access, even when this 4-bike hitch carrier is fully loaded     Sliding SwitchBlade™ anti-sway cradles eliminate bike-to-bike contact and improve ease of loading     Our finest arm padding ensures superior bike protection     TriggerFinger™ technology lets you fold arms down with the press of a button     Integrated LockDown&trage security cable included so you can lock bikes to the carrier     HitchLock included to lock your 4-bike hitch carrier safely to your vehicle     Premium metallic powdercoat finish     Integrated bottle opener     Fits 2” hitch receivers only  Product Specs      Weight: 47.80 lbs.     Dimensions: L 38.00 in x W 13.00 in x H 43.00 in   bike rack bikerack yakima",,,,,
5915,95.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-rallye-incline-kids-mtn/7460619521.html,2022-04-18 09:05,"Rallye Incline Kids MTN Bike - 24"" Wheels",0,,,,,,,,,,,,,,,,,
5916,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-diamondback-wildwood/7460619692.html,2022-04-18 09:05,Diamondback Wildwood Deluxe MTN Bike - Medium,0,,,,,,,,,,,,,,,,,
5917,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-huffy-savannah-speed/7460619912.html,2022-04-18 09:05,Huffy Savannah 3 Speed Cruiser Bike - Medium,0,,,,,,,,,,,,,,,,,
5918,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-huffy-mtn-bike-small/7463515773.html,2022-04-18 09:04,Huffy MTN Bike - Small,0,,,,,,,,,,,,,,,,,
5919,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-huffy-cranbrook-cruiser/7465164219.html,2022-04-18 09:04,Huffy Cranbrook Cruiser Bike - Medium,2, alloy, cruiser, coaster, excellent, none, Medium, cruiser, Huffy, Cranbrook, none (rigid), 26 in,"Huffy Cranbrook Cruiser Bike - Medium  Please email, text or call  All bikes I sell get the following Tune Up before sale and are ready to ride for trouble free enjoyment for a long time. Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information. In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge.  Tune Up work includes - Clean entire bike - Safety check of all fasteners and parts - Replace broken or missing parts - True wheels, adjust hub, replace rim strip, tube and tire as required - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required - Lube chain and other moving parts as required",,,,,
5920,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-schwinn-sidewinder-mtn/7471147550.html,2022-04-18 09:01,Schwinn Sidewinder MTN Bike - Medium,2, alloy, mountain, disc (mechanical), excellent, none, Medium, riser, Schwinn, Sidewinder, suspension fork (hardtail), 26 in,"Schwinn Sidewinder MTN Bike - Medium  Please email, text or call   All bikes I sell get the following Tune Up before sale and are ready to ride for trouble free enjoyment for a long time. Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information. In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge.  Tune Up work includes - Clean entire bike - Safety check of all fasteners and parts - Replace broken or missing parts - True wheels, adjust hub, replace rim strip, tube and tire as required - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required - Lube chain and other moving parts as required",,,,,
5921,115.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-pacific-regency-mtn-bike/7469395531.html,2022-04-18 09:03,Pacific Regency MTN Bike - Small,2, alloy, mountain, caliper, excellent, none, Small, riser, Pacific, Regency, none (rigid), 26 in,"Pacific Regency MTN Bike - Small  All bikes I sell get the following Tune Up before sale. All bikes are ready to ride for trouble free enjoyment for a long time. Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information. In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge. Tune Up work includes - Clean entire bike - Safety check of all fasteners and parts - Replace broken or missing parts - True wheels, adjust hub, replace rim strip, tube and tire as required - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required - Lube chain and other moving parts as required",,,,, N/A
5922,125.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-schwinn-pioneer-mtn-bike/7471145827.html,2022-04-18 09:01,Schwinn Pioneer MTN Bike - Small,2, alloy, mountain, v-brakes, excellent, none, Small, riser, Schwinn, Pioneer, suspension fork (hardtail), 26 in,"Schwinn Pioneer MTN Bike - Small  Please email, text or call   All bikes I sell get the following Tune Up before sale and are ready to ride for trouble free enjoyment for a long time. Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information. In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge.  Tune Up work includes - Clean entire bike - Safety check of all fasteners and parts - Replace broken or missing parts - True wheels, adjust hub, replace rim strip, tube and tire as required - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required - Lube chain and other moving parts as required",,,,,
5923,245.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-electra-cruiser-bike-medium/7471148032.html,2022-04-18 09:01,Electra Cruiser Bike - Medium,2, alloy, cruiser, coaster, excellent, none, Medium, cruiser, Electra, N/A, none (rigid), 26 in,"Electra Cruiser Bike - Medium  Please email, text or call  All bikes I sell get the following Tune Up before sale and are ready to ride for trouble free enjoyment for a long time. Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information. In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge.  Tune Up work includes - Clean entire bike - Safety check of all fasteners and parts - Replace broken or missing parts - True wheels, adjust hub, replace rim strip, tube and tire as required - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required - Lube chain and other moving parts as required",,,,, N/A
5924,95.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-huffy-ultra-terrain-kids/7471999895.html,2022-04-18 08:58,"Huffy Ultra Terrain - Kids Bike - 24"" Wheel",2, alloy, kids,, excellent,, Small,, Huffy, Ultra Terrain,, 24 in,"Huffy Ultra Terrain - Kids Bike - 24"" Wheel  Please email, text or call  All bikes I sell get the following Tune Up before sale and are ready to ride for trouble free enjoyment for a long time.  Some pictures of the bikes I have for sale are before Tune Ups are completed. If the bikes for sale are not ready today they will be ready in one to two days if I you want to purchase the bike. Just contact me for more information.  In addition you can bring the bike back for 90 days for any adjustment needed including flat tires free of charge.   Tune Up work includes  - Clean entire bike  - Safety check of all fasteners and parts  - Replace broken or missing parts  - True wheels, adjust hub, replace rim strip, tube and tire as required  - Install new shifter and brake cables as required and adjust derailleur's, shifters and brakes. - Install new brake pads as required  - Lube chain and other moving parts as required",,,,, N/A
5925,130.0,fortcollins,https://fortcollins.craigslist.org/bik/d/loveland-schwinn-world-tourist-bikes/7460400718.html,2022-03-19 14:43,Schwinn World Tourist Bikes,4, steel, road,,,, 23 inch,,,,, 27 in,Schwinn World Tourist bikes with rear baskets. Mens bike is 5 speed with 23-inch frame. Ladies bike is 10 speed with 21-inch frame. Good condition. $225 for both or $130 each.,,,,,
5926,30.0,fortcollins,https://fortcollins.craigslist.org/spo/d/timnath-rocky-mounts-roof-bike-rack/7472592603.html,2022-04-17 21:31,Rocky Mounts- Roof Bike Rack,8,,,, excellent,,,, Rocky Mounts Roof Bike Rack,,,,Rocky Mounts- Roof Bike Rack - 2 bikes Has all parts,,,,,
5927,150.0,fortcollins,https://fortcollins.craigslist.org/spo/d/fort-collins-yakima-bike-hitch-mount/7472423056.html,2022-04-17 11:23,Yakima 4-Bike Hitch Mount Bike Rack with locks/key,0,,,,,,,,,,,,,,,,,
5928,30.0,fortcollins,https://fortcollins.craigslist.org/pts/d/fort-collins-yakima-clips-bike-racks/7462310733.html,2022-04-17 08:29,Yakima Q Clips + Bike Racks,11,,,,,,,,,,,,"Up for sale are various Yakima roof rack components, available individually or as a lot. All prices are OBO. Please include a phone number when you email me and I'll get back to you ASAP. Thanks!  - 4 Yakima Q-28 Clips. The paint is chipping, but could easily be resprayed and function as they should. A list of vehicles the Q28 clips fit can be found in the photos - $30  - 2 Yakima bike racks. One full tray and one ""half tray""; both includes strap for rear wheel and all mounting accessories to attach it to Yakima round bars. The racks are in good condition and work as they should. No lock cores, but one can be added and it still securely holds bikes without one. The ""half tray"" is missing the skewer, but you can easily buy one or just use the one off your bike while using the rack. - $30 for both",,,,,
5929,160.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-schwinn-mountain-bike-180/7472272812.html,2022-04-16 19:55,Schwinn Mountain Bike $180 obo,0,,,,,,,,,,,,,,,,,
5930,200.0,fortcollins,https://fortcollins.craigslist.org/bop/d/loveland-bicycle-carrier/7472260690.html,2022-04-16 19:00,Bicycle carrier,0,,,,,,,,,,,,Bicycle carrier holds 4 bikes. In good condition. Email if interested!,,,,,
5931,10.0,fortcollins,https://fortcollins.craigslist.org/bab/d/loveland-toddler-bike-helmet/7471413703.html,2022-04-16 18:20,Toddler  bike helmet,7,,,, new,,,, Aidy Pro,,,,"New out of box.  Aidy Pro  Toddler Helmet size small good for  sports such as skating, skateboard, riding bikes, scooters, roller blading, cycling,  snowboarding,. Adjustable sizing. Includes:Kids Helmet / 1 Set of Thin Inner Pads / 1 x Carrying Bag.",, Small,,,
5932,175.0,fortcollins,https://fortcollins.craigslist.org/bop/d/berthoud-thule-bike-rack/7472223103.html,2022-04-16 16:51,Thule Bike rack,4,,,, good,,,,,,,,Thule bike rack for sale. Holds 2 bikes. Arms fold down when not using. Thule is a very nice bike rack brand. Please feel free to contact me at (7two0)7zero3-24zero9,,,,,
5933,60.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-bike-trailer/7472136010.html,2022-04-16 13:17,Bike Trailer,0,,,,,,,,,,,,,,,,,
5934,250.0,fortcollins,https://fortcollins.craigslist.org/bik/d/fort-collins-bike-rack-yakima-2bike/7472121237.html,2022-04-16 12:47,Bike Rack-Yakima 2bike Stick Up,2, other/unknown, other,,,, 54 medium. Mountain bike,, Yakima, Stick up, other/unknown, other/unknown,"This hitch is rock solid,  with 2 bikes, there is 0 rubbing between the bikes and very minimal flex within the rack frame and pretty much 0 wobble between the rack and the car. Very highly rate this product  Like new, hardly used.",,,,,
