,Price,Location,URL,Date,Title,num image,text,condition,make / manufacturer,model name / number,bicycle frame material,bicycle type,brake type,electric assist,frame size,suspension,wheel size,part type,handlebar type,serial number,size / dimensions
1407,350.0,phoenix,https://phoenix.craigslist.org/cph/spo/d/phoenix-new-kids-40cc-mini-dirt-bikes/7461163380.html,2022-04-18 17:31,New Kids 40cc Mini Dirt Bikes $350 Cash,10,"Brand new with warranty.  $350 each cash out the door.  40cc 4-stroke pull start engine. Take straight gas, no mixing.  Front and rear disc brakes for fast stopping.  We have street bike and dirt bike models in several colors.  Max weight 160lb, usually we see kids 5-10 ride these.  Not street legal.  Four Seasons Power Sports 2430 s 20th St Phoenix AZ 85034  480 257 03799   fspsusa.com  Second location NOW OPEN in Mesa!  Four Seasons Mesa 1050 W Main St Mesa, AZ 85210  show contact info  10am-5pm Monday- Friday",,,,,,,,,,,,,,
1408,20.0,phoenix,https://phoenix.craigslist.org/evl/mpo/d/mesa-aluminum-foot-pegs-fit-many-bikes/7472086634.html,2022-04-18 12:05,"aluminum foot pegs, fit many bikes",0,,,,,,,,,,,,,,,
1409,1395.0,phoenix,https://phoenix.craigslist.org/wvl/spo/d/thousand-oaks-schwinn-spin-bikes-ac/7464615513.html,2022-04-18 11:25,Schwinn Spin Bikes - AC Power (TOP OF LINE!) Cardio Home Fitness GYM,13,"If you're looking at this listing, you know this bike -- there's no 'selling' on it. It's top of the line Schwinn.  It is FULLY UPGRADED (you can't anything more to make it fully-loaded!): - Morse Taper Triple Link Pedals - Echelon2G console (latest version) + Crank Power Mater (4iiii) - Weight Bars + Rack (4lb and 6lb)  ** And yes, it has the generator (and, the red light that comes on below it when riding).    Excellent condition; perfect functionality; cosmetic is 9 out of 10.  Cash deal / NO TAX!!!!! Delivery / Installation to ARIZONA available.  Of course, this depends on number of bikes (as there is also freight options -- which I get pretty good (better than the rates of LTL ... and, realistically probably better than you'd fine--- UNLESS YOU'RE A FREIGHT COMPANY!  :)  There is an entire fleet of 30+ available. Whether its one bike... 5, 10, 15, 20+ -- whatever it is, I'm sure I can accomodate. And, I GUARANTEE --- YOU WILL NOT FIND THIS BIKE (W/ ALL THE UPGRADES AND THE QUALITY OF IT) ANYWHERE ELSE FOR THIS PRICE ON THE PLANET! No way! I've actually looked all over the US to see what else is out there. NOPE!!! :)  ***** Sidenote -- IF you're interested in other bikes, I also have fleets of:  - Schwinn AC Performance w/ Carbon Blue (white bikes) - 30+ (50 MORE IN MID-MAY) - Precor Rally (chain drive) (up to 90) - Star Trac Blade ION w/ console (chain drive) - (20)", excellent, Schwinn, AC Power,,,,,,,,,,,
1410,50.0,phoenix,https://phoenix.craigslist.org/evl/bop/d/scottsdale-graber-hitch-mount-bicycle/7466368903.html,2022-04-18 05:13,Graber hitch mount bicycle rack for two bikes,0,New in the box  Calls  Only  Dan   show contact info,,,,,,,,,,,,,,
1411,4000.0,phoenix,https://phoenix.craigslist.org/nph/bik/d/scottsdale-2019-bh-atom-emotion-bike/7472599625.html,2022-04-17 21:21,2019 BH Atom X Emotion E-bike Full Suspension medium like new,21,"In like new condition with only 134 miles on it.  2019 BH Atom X electric Emotion full suspension mountain bike.  Size medium, comes with key and charger.  Bike is equipped with Shimano XT rear derailleur, SLX shifter and brakes, 27.5 plus wheels, KS dropper seat post, Fox Rythum 34 fork, Fox Float DPS rear shock.  It has 4 different pedal assist settings from eco to boost.  Super fun to ride.  $4000 call or text   six02 three2one 8five5four", excellent, BH Bikes, Atom X emotion, aluminum, mountain, disc (hydraulic), pedal assist, medium, frame and fork (full suspension), 27.5 in,,,,
1412,100.0,phoenix,https://phoenix.craigslist.org/evl/mpo/d/mesa-bridgestone-battlax-front-tire-for/7470528837.html,2022-04-17 20:02,Bridgestone Battlax S22 120/70 17 Front tire for most bikes,0,,,,,,,,,,,,,,,
1413,4600.0,phoenix,https://phoenix.craigslist.org/nph/bik/d/scottsdale-2020-niner-rkt-rdo-star/7461162131.html,2022-04-17 11:09,2020 Niner RKT 9 RDO 3 Star Carbon Full Suspension Mountain Bike Mediu,0,,,,,,,,,,,,,,,
1414,60.0,phoenix,https://phoenix.craigslist.org/evl/mpo/d/mesa-tire-pressure-monitoring-system/7472416987.html,2022-04-17 10:06,Tire Pressure Monitoring System for Motorcycles/bikes,3,"Like new condition, had it less than a month. Just purchased a new bike that has a TPMS from the factory, so I no longer need this one.   Just download the FOBO app, sync it up, and you're ready to ride!   FOBO Bike 2 Tire Pressure Monitoring Systems  FOBO Bike 2 is a SMART tire pressure monitoring system (TPMS) for every biker. FOBO Bike 2 uses the latest Bluetooth 5.0 technology that works directly with your smartphone that has Bluetooth smart Ready (Bluetooth 4.0 or above) capability in order to use FOBO Bike 2. Currently FOBO Bike 2 works best with iOS 9.3 and Android 5.0 or later.  FOBO Bike 2 is a SMART tire pressure monitoring system for every biker  * View on demand tire pressure & temperature  * Monitors tire pressure in real time while riding or when in Bluetooth range  * Detects slow or fast leak and alerts users to anomalies  * Sends instant audio, haptic and text alerts on a smartphone/smartwatch/Bluetooth headset  * Easy install on any motorcycle without running wires, drilling holes, and tedious programming   The main function of FOBO Bike 2 is to monitor tire pressure in real time while riding or when in Bluetooth range. It detects slow or fast leak and alerts users to anomalies. It then transmits the readings to a smart phone where the user can browse. The user can set upper and lower thresholds of the air pressure. FOBO Bike 2 can send instant audio, haptic and text alerts on a smartphone/ smartwatch/ Bluetooth headset. It will monitor the pressure based on the thresholds with its smart algorithm and will provide three levels of alerts when the thresholds are breached",, FOBO,,,,,,,,,,,,
1415,8.0,phoenix,https://phoenix.craigslist.org/evl/bop/d/gilbert-co2-tire-pump-cartridge-compact/7460941941.html,2022-04-17 09:44,Co2 tire pump w cartridge - compact for bikes,4,"Ready to go, no issues. Comes with unused CO2 cartridge that stores inside. Hurricane Quick Shot. Fits in your jersey pocket or saddlebag.   Don't get caught with no air on the road!  See this ad? Its available. Please leave a phone number for a return call. Thanks!",,,,,,,,,,,,,,
1416,795.0,phoenix,https://phoenix.craigslist.org/evl/bik/d/chandler-specialized-source-eleven-road/7465611521.html,2022-04-17 08:52,Specialized Source Eleven road bikes,7,"Exellent condition, well kept and smooth ride Specialized Source Eleven with 51 cm frame size for $795.00 cash only.", excellent, Specialized, Source Eleven, other/unknown, road, disc (hydraulic),, 51cm,, 700C,,,,
